278, 196
123, 33
116, 224
293, 30
40, 135
112, 222
175, 221
194, 98
8, 65
227, 18
31, 179
93, 21
118, 285
89, 62
196, 140
176, 185
12, 44
177, 215
20, 65
10, 106
220, 134
101, 61
221, 290
114, 159
276, 128
259, 118
67, 75
70, 245
44, 120
32, 263
34, 284
197, 292
57, 171
268, 182
209, 44
6, 99
122, 143
103, 126
180, 292
63, 26
103, 18
158, 35
82, 42
282, 232
218, 47
300, 244
285, 127
198, 185
141, 40
214, 270
148, 109
214, 166
60, 266
202, 116
139, 101
176, 50
230, 238
93, 110
75, 117
167, 173
39, 19
294, 224
34, 190
193, 211
208, 288
49, 222
251, 267
3, 253
113, 290
179, 82
219, 58
109, 245
181, 94
62, 125
41, 162
104, 228
143, 120
177, 190
40, 288
152, 77
23, 133
197, 91
30, 221
6, 137
282, 30
185, 170
225, 151
175, 127
264, 23
180, 287
284, 73
194, 56
75, 295
77, 277
118, 270
228, 95
23, 284
205, 235
51, 236
8, 43
1, 35
40, 175
232, 41
172, 49
13, 97
100, 223
78, 273
139, 84
155, 287
91, 230
191, 111
67, 174
190, 170
58, 271
203, 61
233, 162
257, 27
129, 266
152, 9
198, 40
230, 210
185, 60
261, 221
215, 145
93, 129
5, 51
230, 252
223, 48
42, 180
27, 52
3, 191
45, 82
179, 297
198, 281
287, 236
211, 7
215, 263
0, 33
148, 133
79, 110
114, 75
284, 231
40, 81
17, 128
56, 152
162, 5
55, 300
156, 77
114, 193
100, 139
161, 242
223, 193
52, 225
231, 105
108, 257
101, 72
269, 85
137, 117
206, 271
223, 132
269, 251
195, 257
239, 122
78, 79
263, 12
81, 18
169, 178
147, 69
87, 203
295, 76
209, 108
218, 283
222, 13
18, 137
56, 220
245, 164
78, 86
182, 107
131, 115
97, 115
230, 48
23, 139
144, 198
75, 271
134, 117
196, 113
205, 82
153, 94
89, 282
115, 248
166, 157
6, 88
94, 74
59, 164
220, 19
141, 227
123, 248
14, 291
22, 63
257, 209
188, 120
287, 20
32, 133
267, 224
218, 0
70, 93
114, 170
287, 152
129, 134
157, 160
74, 227
228, 294
241, 152
40, 263
187, 254
162, 231
178, 143
280, 209
120, 3
124, 247
76, 166
235, 87
259, 87
280, 159
141, 246
32, 181
73, 214
167, 50
220, 289
170, 0
114, 220
203, 45
230, 69
196, 256
200, 224
251, 138
262, 105
179, 84
58, 223
7, 113
85, 53
93, 108
59, 245
137, 229
54, 107
115, 278
209, 232
184, 166
